Employee.ID,Designation,Type.of.Leave_Absent,Type.of.Leave_Casual Leave,Type.of.Leave_Casual Leave Confirmed COE,Type.of.Leave_Earned Leave,Type.of.Leave_Earned Leave Confirmed COE,Type.of.Leave_LWP,Type.of.Leave_Sick Leave,Leave.applied.for.no..of.days,Date.of.joining.the.company,Status.of.Leave_Absent,Status.of.Leave_Approved,Status.of.Leave_Rejected,From.my,To.my
VHR128,Trainee Dealer,0,1,0,0,0,0,0,0.5,08-02-2016,0,1,0,12017,12017
VHR135,Trainee Dealer,0,0,0,1,0,0,0,1,20-07-2015,0,1,0,32017,32017
VHR135,Trainee Dealer,0,0,0,1,0,0,0,1,20-07-2015,0,1,0,32017,32017
VHR135,Trainee Dealer,0,0,0,1,0,0,0,1,20-07-2015,0,1,0,32017,32017
VHR135,Trainee Dealer,0,0,0,0,0,1,0,4,20-07-2015,0,1,0,22017,22017
VHR135,Trainee Dealer,0,0,0,1,0,0,0,1,20-07-2015,0,1,0,22017,22017
VHR135,Trainee Dealer,0,1,0,0,0,0,0,0.5,20-07-2015,0,1,0,32017,32017
VHR135,Trainee Dealer,0,0,0,0,0,1,0,13,20-07-2015,0,1,0,42017,42017
VHR135,Trainee Dealer,0,0,0,0,0,0,1,1,20-07-2015,0,1,0,22017,22017
VHR135,Trainee Dealer,0,0,0,1,0,0,0,1,20-07-2015,0,1,0,22017,22017
VHR135,Trainee Dealer,0,1,0,0,0,0,0,0.5,20-07-2015,0,1,0,32017,32017
VHR135,Trainee Dealer,0,0,0,0,0,1,0,3,20-07-2015,0,1,0,22017,22017
VHR135,Trainee Dealer,0,0,0,0,0,1,0,2,20-07-2015,0,1,0,12017,12017
VHR135,Trainee Dealer,0,0,0,0,0,1,0,3,20-07-2015,0,1,0,12017,12017
VHR135,Trainee Dealer,0,0,0,0,0,0,1,0.5,20-07-2015,0,1,0,52017,52017
VHR135,Trainee Dealer,0,0,0,1,0,0,0,3,20-07-2015,0,1,0,52017,52017
VHR136,Trainee Dealer,0,0,0,1,0,0,0,1,11-01-2016,0,1,0,42017,42017
VHR136,Trainee Dealer,0,0,0,1,0,0,0,1,11-01-2016,0,1,0,52017,52017
VHR136,Trainee Dealer,0,0,0,1,0,0,0,1,11-01-2016,0,1,0,52017,52017
VHR136,Trainee Dealer,0,1,0,0,0,0,0,0.5,11-01-2016,0,1,0,52017,52017
VHR136,Trainee Dealer,0,0,0,0,0,0,1,0.5,11-01-2016,0,1,0,22017,22017
VHR136,Trainee Dealer,0,0,0,1,0,0,0,1,11-01-2016,0,1,0,22017,22017
VHR136,Trainee Dealer,0,0,0,1,0,0,0,1,11-01-2016,0,1,0,22017,22017
VHR136,Trainee Dealer,0,0,0,1,0,0,0,1,11-01-2016,0,1,0,12017,12017
VHR136,Trainee Dealer,0,0,0,1,0,0,0,1,11-01-2016,0,1,0,12017,12017
VHR136,Trainee Dealer,0,0,0,1,0,0,0,1,11-01-2016,0,1,0,32017,32017
VHR137,Trainee Dealer,0,0,0,1,0,0,0,1,15-06-2015,0,1,0,12017,12017
VHR137,Trainee Dealer,0,0,0,1,0,0,0,0.5,15-06-2015,0,1,0,12017,12017
VHR145,Trainee Dealer,0,0,0,1,0,0,0,1,15-06-2015,0,1,0,32017,32017
VHR153,Trainee Dealer,0,0,0,0,0,0,1,0.5,13-06-2015,0,1,0,42017,42017
VHR153,Trainee Dealer,0,0,0,1,0,0,0,1,13-06-2015,0,1,0,32017,32017
VHR153,Trainee Dealer,0,0,0,1,0,0,0,4,13-06-2015,0,1,0,52017,52017
VHR153,Trainee Dealer,0,1,0,0,0,0,0,1,13-06-2015,0,1,0,42017,42017
VHR159,Trainee Dealer,0,0,0,1,0,0,0,3,13-06-2015,0,1,0,12017,12017
VHR162,Trainee Dealer,0,0,0,1,0,0,0,0.5,13-06-2015,0,1,0,42017,42017
VHR162,Trainee Dealer,0,0,0,1,0,0,0,0.5,13-06-2015,0,1,0,32017,32017
VHR162,Trainee Dealer,0,0,0,1,0,0,0,1,13-06-2015,0,1,0,32017,32017
VHR162,Trainee Dealer,0,0,0,1,0,0,0,0.5,13-06-2015,0,1,0,32017,32017
VHR162,Trainee Dealer,0,1,0,0,0,0,0,1,13-06-2015,0,1,0,42017,42017
VHR162,Trainee Dealer,0,1,0,0,0,0,0,0.5,13-06-2015,0,1,0,12017,12017
VHR162,Trainee Dealer,0,0,0,0,0,1,0,1,13-06-2015,0,1,0,32017,32017
VHR162,Trainee Dealer,0,0,0,0,0,1,0,1,13-06-2015,0,1,0,52017,52017
VHR162,Trainee Dealer,0,1,0,0,0,0,0,0.5,13-06-2015,0,1,0,22017,22017
VHR162,Trainee Dealer,0,1,0,0,0,0,0,0.5,13-06-2015,0,1,0,22017,22017
VHR162,Trainee Dealer,0,1,0,0,0,0,0,1,13-06-2015,0,1,0,22017,22017
VHR162,Trainee Dealer,0,0,0,0,0,1,0,1,13-06-2015,0,1,0,22017,22017
VHR162,Trainee Dealer,0,0,0,0,0,1,0,1,13-06-2015,0,1,0,22017,22017
VHR162,Trainee Dealer,0,0,0,0,0,1,0,1,13-06-2015,0,1,0,22017,22017
VHR162,Trainee Dealer,0,0,0,0,0,1,0,1,13-06-2015,0,1,0,12017,12017
VHR143,Trainee Dealer,0,0,0,0,0,0,1,0.5,15-06-2015,0,1,0,42017,42017
VHR143,Trainee Dealer,0,0,0,1,0,0,0,1,15-06-2015,0,1,0,52017,52017
VHR143,Trainee Dealer,0,1,0,0,0,0,0,0.5,15-06-2015,0,1,0,32017,32017
VHR143,Trainee Dealer,0,0,0,1,0,0,0,1,15-06-2015,0,1,0,22017,22017
VHR143,Trainee Dealer,0,0,0,1,0,0,0,0.5,15-06-2015,0,1,0,22017,22017
VHR143,Trainee Dealer,0,0,0,1,0,0,0,1,15-06-2015,0,1,0,22017,22017
VHR143,Trainee Dealer,0,0,0,1,0,0,0,1,15-06-2015,0,1,0,12017,12017
VHR143,Trainee Dealer,0,0,0,1,0,0,0,1,15-06-2015,0,1,0,32017,32017
VHR143,Trainee Dealer,0,1,0,0,0,0,0,0.5,15-06-2015,0,1,0,12017,12017
VHR143,Trainee Dealer,0,1,0,0,0,0,0,1,15-06-2015,0,1,0,12017,12017
VHR161,Trainee Dealer,0,0,0,0,0,0,1,0.5,13-06-2015,0,1,0,52017,52017
VHR161,Trainee Dealer,0,0,0,1,0,0,0,0.5,13-06-2015,0,1,0,52017,52017
VHR161,Trainee Dealer,0,0,0,1,0,0,0,1,13-06-2015,0,1,0,52017,52017
VHR161,Trainee Dealer,0,0,0,0,0,0,1,0.5,13-06-2015,0,1,0,122016,122016
VHR161,Trainee Dealer,0,0,0,1,0,0,0,1,13-06-2015,0,1,0,22017,22017
VHR161,Trainee Dealer,0,1,0,0,0,0,0,0.5,13-06-2015,0,1,0,12017,12017
VHR161,Trainee Dealer,0,0,0,0,0,1,0,1,13-06-2015,0,1,0,122016,122016
VHR161,Trainee Dealer,0,0,0,0,0,1,0,1,13-06-2015,0,1,0,22017,22017
VHR161,Trainee Dealer,0,0,0,0,0,1,0,1,13-06-2015,0,1,0,22017,22017
VHR144,Trainee Dealer,0,0,0,1,0,0,0,0.5,15-06-2015,0,1,0,42017,42017
VHR144,Trainee Dealer,0,0,0,1,0,0,0,1,15-06-2015,0,1,0,42017,42017
VHR144,Trainee Dealer,0,1,0,0,0,0,0,1,15-06-2015,0,1,0,42017,42017
VHR144,Trainee Dealer,0,1,0,0,0,0,0,0.5,15-06-2015,0,1,0,42017,42017
VHR144,Trainee Dealer,0,0,0,0,0,1,0,1,15-06-2015,0,1,0,122016,122016
VHR144,Trainee Dealer,0,0,0,0,0,1,0,0.5,15-06-2015,0,1,0,22017,22017
VHR144,Trainee Dealer,0,0,0,0,0,1,0,0.5,15-06-2015,0,1,0,22017,22017
VHR144,Trainee Dealer,0,0,0,0,0,1,0,1,15-06-2015,0,1,0,12017,12017
VHR144,Trainee Dealer,0,0,0,0,0,1,0,0.5,15-06-2015,0,1,0,12017,12017
VHR165,Trainee Dealer,0,0,0,0,0,0,1,0.5,17-08-2015,0,1,0,42017,42017
VHR165,Trainee Dealer,0,0,0,0,0,0,1,1,17-08-2015,0,1,0,42017,42017
VHR165,Trainee Dealer,0,0,0,1,0,0,0,5,17-08-2015,0,1,0,52017,52017
VHR165,Trainee Dealer,0,0,0,1,0,0,0,1,17-08-2015,0,1,0,122016,122016
VHR165,Trainee Dealer,0,0,0,0,0,1,0,1.5,17-08-2015,0,1,0,122016,122016
VHR165,Trainee Dealer,0,0,0,0,0,1,0,3,17-08-2015,0,1,0,12017,12017
VHR141,Trainee Dealer,0,0,0,0,0,0,1,2,15-06-2015,0,1,0,42017,42017
VHR141,Trainee Dealer,0,0,0,1,0,0,0,3,15-06-2015,0,1,0,32017,32017
VHR141,Trainee Dealer,0,0,0,1,0,0,0,1,15-06-2015,0,1,0,32017,32017
VHR141,Trainee Dealer,0,0,0,0,0,1,0,8,15-06-2015,0,1,0,42017,42017
VHR141,Trainee Dealer,0,0,0,1,0,0,0,1,15-06-2015,0,1,0,12017,12017
VHR141,Trainee Dealer,0,0,0,0,0,1,0,1.5,15-06-2015,0,1,0,12017,12017
VHR141,Trainee Dealer,0,0,0,0,0,1,0,1.5,15-06-2015,0,1,0,12017,12017
VHR141,Trainee Dealer,0,0,0,0,0,1,0,3,15-06-2015,0,1,0,12017,12017
VHR158,Trainee Dealer,0,0,0,1,0,0,0,2,13-06-2015,0,1,0,22017,22017
VHR163,Trainee Dealer,0,0,0,1,0,0,0,0.5,13-06-2015,0,1,0,42017,42017
VHR163,Trainee Dealer,0,0,0,1,0,0,0,1,13-06-2015,0,1,0,42017,42017
VHR163,Trainee Dealer,0,0,0,1,0,0,0,1,13-06-2015,0,1,0,32017,32017
VHR163,Trainee Dealer,0,0,0,1,0,0,0,1,13-06-2015,0,1,0,52017,52017
VHR163,Trainee Dealer,0,0,0,1,0,0,0,0.5,13-06-2015,0,1,0,52017,52017
VHR163,Trainee Dealer,0,1,0,0,0,0,0,1,13-06-2015,0,1,0,22017,22017
VHR163,Trainee Dealer,0,0,0,1,0,0,0,1,13-06-2015,0,1,0,52017,52017
VHR155,Trainee Dealer,0,0,0,0,0,0,1,0.5,13-06-2015,0,1,0,42017,42017
VHR155,Trainee Dealer,0,0,0,0,0,0,1,0.5,13-06-2015,0,1,0,32017,32017
VHR155,Trainee Dealer,0,0,0,1,0,0,0,1,13-06-2015,0,1,0,22017,22017
VHR155,Trainee Dealer,0,0,0,1,0,0,0,0.5,13-06-2015,0,1,0,32017,32017
VHR155,Trainee Dealer,0,0,0,1,0,0,0,0.5,13-06-2015,0,1,0,52017,52017
VHR155,Trainee Dealer,0,0,0,1,0,0,0,0.5,13-06-2015,0,1,0,52017,52017
VHR155,Trainee Dealer,0,1,0,0,0,0,0,1,13-06-2015,0,1,0,42017,42017
VHR155,Trainee Dealer,0,1,0,0,0,0,0,1,13-06-2015,0,1,0,42017,42017
VHR155,Trainee Dealer,0,0,0,1,0,0,0,0.5,13-06-2015,0,1,0,22017,22017
VHR155,Trainee Dealer,0,0,0,0,0,1,0,1,13-06-2015,0,1,0,12017,12017
VHR147,Trainee Dealer,0,0,0,1,0,0,0,0.5,15-06-2015,0,1,0,42017,42017
VHR147,Trainee Dealer,0,0,0,1,0,0,0,1,15-06-2015,0,1,0,42017,42017
VHR147,Trainee Dealer,0,0,0,1,0,0,0,4,15-06-2015,0,1,0,52017,52017
VHR147,Trainee Dealer,0,0,0,1,0,0,0,1,15-06-2015,0,1,0,22017,22017
VHR147,Trainee Dealer,0,0,0,1,0,0,0,0.5,15-06-2015,0,1,0,12017,12017
VHR147,Trainee Dealer,0,0,0,1,0,0,0,2,15-06-2015,0,1,0,12017,12017
VHR148,Trainee Dealer,0,0,0,0,0,0,1,1,15-06-2015,0,1,0,42017,42017
VHR148,Trainee Dealer,0,0,0,1,0,0,0,2,15-06-2015,0,1,0,42017,42017
VHR148,Trainee Dealer,0,0,0,1,0,0,0,1,15-06-2015,0,1,0,52017,52017
VHR148,Trainee Dealer,0,0,0,1,0,0,0,1,15-06-2015,0,1,0,52017,52017
VHR148,Trainee Dealer,0,1,0,0,0,0,0,1,15-06-2015,0,1,0,52017,52017
VHR148,Trainee Dealer,0,0,0,1,0,0,0,3,15-06-2015,0,1,0,122016,122016
VHR148,Trainee Dealer,0,0,0,1,0,0,0,2,15-06-2015,0,1,0,22017,22017
VHR148,Trainee Dealer,0,0,0,1,0,0,0,1,15-06-2015,0,1,0,22017,22017
VHR149,Trainee Dealer,0,0,0,0,0,0,1,0.5,15-06-2015,0,1,0,32017,32017
VHR149,Trainee Dealer,0,0,0,1,0,0,0,0.5,15-06-2015,0,1,0,32017,32017
VHR149,Trainee Dealer,0,0,0,1,0,0,0,1,15-06-2015,0,1,0,32017,32017
VHR149,Trainee Dealer,0,0,0,1,0,0,0,0.5,15-06-2015,0,1,0,32017,32017
VHR149,Trainee Dealer,0,0,0,1,0,0,0,1,15-06-2015,0,1,0,32017,32017
VHR149,Trainee Dealer,0,0,0,1,0,0,0,0.5,15-06-2015,0,1,0,52017,52017
VHR149,Trainee Dealer,0,0,0,1,0,0,0,1,15-06-2015,0,1,0,52017,52017
VHR149,Trainee Dealer,0,0,0,1,0,0,0,0.5,15-06-2015,0,1,0,52017,52017
VHR149,Trainee Dealer,0,1,0,0,0,0,0,0.5,15-06-2015,0,1,0,52017,52017
VHR149,Trainee Dealer,0,0,0,0,0,1,0,4,15-06-2015,0,1,0,52017,52017
VHR149,Trainee Dealer,0,0,0,0,0,1,0,4,15-06-2015,0,1,0,52017,52017
VHR149,Trainee Dealer,0,0,0,0,0,0,1,0.5,15-06-2015,0,1,0,22017,22017
VHR149,Trainee Dealer,0,0,0,1,0,0,0,0.5,15-06-2015,0,1,0,12017,12017
