"Employee.ID","Designation","Type.of.Leave_Absent","Type.of.Leave_Casual Leave","Type.of.Leave_Casual Leave Confirmed COE","Type.of.Leave_Earned Leave","Type.of.Leave_Earned Leave Confirmed COE","Type.of.Leave_LWP","Type.of.Leave_Sick Leave","Leave.applied.for.no..of.days","Leave.Dates.From","Leave.Dates.to","Date.of.joining.the.company","Status.of.Leave_Absent","Status.of.Leave_Approved","Status.of.Leave_Rejected","Leave.Dates.From.Date","Leave.Dates.From.Month","Leave.Dates.From.Year","Leave.Dates.to.Date","Leave.Dates.to.Month","Leave.Dates.to.Year","From.my","To.my"
"VHR124","Trainee Dealer",0,0,0,1,0,0,0,2,2017-02-24,2017-02-27,2015-07-20,0,0,1,24,2,2017,27,2,2017,22017,22017
"VHR124","Trainee Dealer",0,0,0,1,0,0,0,1,2017-03-01,2017-03-01,2015-07-20,0,0,1,1,3,2017,1,3,2017,32017,32017
"VHR124","Trainee Dealer",0,1,0,0,0,0,0,0.5,2017-04-03,2017-04-03,2015-07-20,0,1,0,3,4,2017,3,4,2017,42017,42017
"VHR124","Trainee Dealer",0,1,0,0,0,0,0,0.5,2017-04-10,2017-04-10,2015-07-20,0,1,0,10,4,2017,10,4,2017,42017,42017
"VHR124","Trainee Dealer",0,1,0,0,0,0,0,2,2017-04-20,2017-04-21,2015-07-20,0,1,0,20,4,2017,21,4,2017,42017,42017
"VHR124","Trainee Dealer",0,0,0,1,0,0,0,1,2017-05-03,2017-05-03,2015-06-15,0,1,0,3,5,2017,3,5,2017,52017,52017
"VHR123","Trainee Dealer",0,0,0,0,0,0,1,0.5,2017-03-01,2017-03-01,2015-06-15,0,1,0,1,3,2017,1,3,2017,32017,32017
"VHR123","Trainee Dealer",0,0,0,1,0,0,0,1,2017-05-15,2017-05-15,2015-06-15,0,1,0,15,5,2017,15,5,2017,52017,52017
"VHR123","Trainee Dealer",0,0,0,1,0,0,0,1,2017-05-16,2017-05-16,2015-06-15,0,1,0,16,5,2017,16,5,2017,52017,52017
"VHR123","Trainee Dealer",0,0,0,1,0,0,0,1,2017-05-17,2017-05-17,2015-06-15,0,1,0,17,5,2017,17,5,2017,52017,52017
"VHR123","Trainee Dealer",0,1,0,0,0,0,0,1,2017-01-06,2017-01-06,2015-06-15,0,1,0,6,1,2017,6,1,2017,12017,12017
"VHR123","Trainee Dealer",0,0,0,0,0,1,0,1,2017-05-18,2017-05-18,2015-06-15,0,1,0,18,5,2017,18,5,2017,52017,52017
"VHR123","Trainee Dealer",0,0,0,1,0,0,0,2,2017-02-01,2017-02-03,2015-06-15,0,1,0,1,2,2017,3,2,2017,22017,22017
"VHR123","Trainee Dealer",0,0,0,1,0,0,0,1,2017-01-30,2017-01-31,2015-06-15,0,1,0,30,1,2017,31,1,2017,12017,12017
"VHR123","Trainee Dealer",0,0,0,0,0,1,0,0.5,2017-01-05,2017-01-05,2015-06-15,0,1,0,5,1,2017,5,1,2017,12017,12017
"VHR127","Trainee Dealer",0,0,0,1,0,0,0,1,2017-04-24,2017-04-24,2015-09-24,0,1,0,24,4,2017,24,4,2017,42017,42017
"VHR127","Trainee Dealer",0,0,0,1,0,0,0,1,2017-03-27,2017-03-27,2015-09-24,0,1,0,27,3,2017,27,3,2017,32017,32017
"VHR127","Trainee Dealer",0,0,0,1,0,0,0,2,2017-05-04,2017-05-05,2015-09-24,0,1,0,4,5,2017,5,5,2017,52017,52017
"VHR127","Trainee Dealer",0,0,0,1,0,0,0,1,2017-02-24,2017-02-24,2015-09-24,0,1,0,24,2,2017,24,2,2017,22017,22017
"VHR127","Trainee Dealer",0,0,0,1,0,0,0,1,2017-01-27,2017-01-27,2015-09-24,0,1,0,27,1,2017,27,1,2017,12017,12017
"VHR127","Trainee Dealer",0,1,0,0,0,0,0,0.5,2017-01-13,2017-01-13,2015-09-24,0,1,0,13,1,2017,13,1,2017,12017,12017
"VHR128","Trainee Dealer",0,0,0,1,0,0,0,0.5,2017-04-11,2017-04-11,2016-02-08,0,1,0,11,4,2017,11,4,2017,42017,42017
"VHR128","Trainee Dealer",0,0,0,1,0,0,0,4,2017-03-14,2017-03-17,2016-02-08,0,1,0,14,3,2017,17,3,2017,32017,32017
"VHR128","Trainee Dealer",0,0,0,1,0,0,0,1,2017-01-16,2017-01-16,2016-02-08,0,1,0,16,1,2017,16,1,2017,12017,12017
"VHR128","Trainee Dealer",0,1,0,0,0,0,0,0.5,2017-01-17,2017-01-17,2016-02-08,0,1,0,17,1,2017,17,1,2017,12017,12017
"VHR135","Trainee Dealer",0,0,0,1,0,0,0,1,2017-03-03,2017-03-03,2015-07-20,0,1,0,3,3,2017,3,3,2017,32017,32017
"VHR135","Trainee Dealer",0,0,0,1,0,0,0,1,2017-03-06,2017-03-06,2015-07-20,0,1,0,6,3,2017,6,3,2017,32017,32017
"VHR135","Trainee Dealer",0,0,0,1,0,0,0,1,2017-03-07,2017-03-07,2015-07-20,0,1,0,7,3,2017,7,3,2017,32017,32017
"VHR135","Trainee Dealer",0,0,0,0,0,1,0,4,2017-02-23,2017-02-28,2015-07-20,0,1,0,23,2,2017,28,2,2017,22017,22017
"VHR135","Trainee Dealer",0,0,0,1,0,0,0,1,2017-02-10,2017-02-10,2015-07-20,0,1,0,10,2,2017,10,2,2017,22017,22017
"VHR135","Trainee Dealer",0,1,0,0,0,0,0,0.5,2017-03-10,2017-03-10,2015-07-20,0,1,0,10,3,2017,10,3,2017,32017,32017
"VHR135","Trainee Dealer",0,0,0,0,0,1,0,13,2017-04-03,2017-04-21,2015-07-20,0,1,0,3,4,2017,21,4,2017,42017,42017
"VHR135","Trainee Dealer",0,0,0,0,0,0,1,1,2017-02-14,2017-02-14,2015-07-20,0,1,0,14,2,2017,14,2,2017,22017,22017
"VHR135","Trainee Dealer",0,0,0,1,0,0,0,1,2017-02-20,2017-02-20,2015-07-20,0,1,0,20,2,2017,20,2,2017,22017,22017
"VHR135","Trainee Dealer",0,1,0,0,0,0,0,0.5,2017-03-01,2017-03-01,2015-07-20,0,1,0,1,3,2017,1,3,2017,32017,32017
"VHR135","Trainee Dealer",0,0,0,0,0,1,0,3,2017-02-03,2017-02-06,2015-07-20,0,1,0,3,2,2017,6,2,2017,22017,22017
"VHR135","Trainee Dealer",0,0,0,0,0,1,0,2,2017-01-02,2017-01-03,2015-07-20,0,1,0,2,1,2017,3,1,2017,12017,12017
"VHR135","Trainee Dealer",0,0,0,0,0,1,0,3,2017-01-04,2017-01-06,2015-07-20,0,1,0,4,1,2017,6,1,2017,12017,12017
"VHR135","Trainee Dealer",0,0,0,0,0,0,1,0.5,2017-05-25,2017-05-25,2015-07-20,0,1,0,25,5,2017,25,5,2017,52017,52017
"VHR135","Trainee Dealer",0,0,0,1,0,0,0,3,2017-05-02,2017-05-05,2015-07-20,0,1,0,2,5,2017,5,5,2017,52017,52017
"VHR136","Trainee Dealer",0,0,0,1,0,0,0,1,2017-04-10,2017-04-10,2016-01-11,0,1,0,10,4,2017,10,4,2017,42017,42017
"VHR136","Trainee Dealer",0,0,0,1,0,0,0,1,2017-05-08,2017-05-08,2016-01-11,0,1,0,8,5,2017,8,5,2017,52017,52017
"VHR136","Trainee Dealer",0,0,0,1,0,0,0,1,2017-05-17,2017-05-17,2016-01-11,0,1,0,17,5,2017,17,5,2017,52017,52017
"VHR136","Trainee Dealer",0,1,0,0,0,0,0,0.5,2017-05-11,2017-05-11,2016-01-11,0,1,0,11,5,2017,11,5,2017,52017,52017
"VHR136","Trainee Dealer",0,0,0,0,0,0,1,0.5,2017-02-27,2017-02-27,2016-01-11,0,1,0,27,2,2017,27,2,2017,22017,22017
"VHR136","Trainee Dealer",0,0,0,1,0,0,0,1,2017-02-07,2017-02-07,2016-01-11,0,1,0,7,2,2017,7,2,2017,22017,22017
"VHR136","Trainee Dealer",0,0,0,1,0,0,0,1,2017-02-28,2017-02-28,2016-01-11,0,1,0,28,2,2017,28,2,2017,22017,22017
"VHR136","Trainee Dealer",0,0,0,1,0,0,0,1,2017-01-06,2017-01-06,2016-01-11,0,1,0,6,1,2017,6,1,2017,12017,12017
"VHR136","Trainee Dealer",0,0,0,1,0,0,0,1,2017-01-10,2017-01-10,2016-01-11,0,1,0,10,1,2017,10,1,2017,12017,12017
"VHR136","Trainee Dealer",0,0,0,1,0,0,0,1,2017-03-31,2017-03-31,2016-01-11,0,1,0,31,3,2017,31,3,2017,32017,32017
"VHR137","Trainee Dealer",0,0,0,1,0,0,0,1,2017-01-06,2017-01-06,2015-06-15,0,1,0,6,1,2017,6,1,2017,12017,12017
"VHR137","Trainee Dealer",0,0,0,1,0,0,0,0.5,2017-01-24,2017-01-24,2015-06-15,0,1,0,24,1,2017,24,1,2017,12017,12017
"VHR145","Trainee Dealer",0,0,0,1,0,0,0,1,2017-03-28,2017-03-28,2015-06-15,0,1,0,28,3,2017,28,3,2017,32017,32017
"VHR153","Trainee Dealer",0,0,0,0,0,0,1,0.5,2017-04-11,2017-04-11,2015-06-13,0,1,0,11,4,2017,11,4,2017,42017,42017
"VHR153","Trainee Dealer",0,0,0,1,0,0,0,1,2017-03-20,2017-03-20,2015-06-13,0,1,0,20,3,2017,20,3,2017,32017,32017
"VHR153","Trainee Dealer",0,0,0,1,0,0,0,4,2017-05-02,2017-05-05,2015-06-13,0,1,0,2,5,2017,5,5,2017,52017,52017
